工业生产总值,利差
26.405,.73
26.1701,.52
25.9351,.41
25.7295,.36
25.7001,.5
25.377,.83
25.2889,.67
25.2595,.82
24.9952,1.2
24.9658,1.42
24.6134,1.49
24.1434,1.86
24.1728,2.39
24.1434,1.24
24.2903,1.72
24.7896,2.29
25.1714,1.73
25.5239,2.15
25.8176,2.75
26.0526,2.04
26.0232,2.1
26.5225,1.66
26.9337,1.33
27.1687,1.73
26.9337,1.93
27.3743,1.67
27.5212,1.08
27.5799,1.06
27.5505,1.51
27.4918,1.23
27.7561,1.3
27.7855,1.05
27.9617,1.08
27.9911,1.03
28.1086,.98
28.1086,.93
28.3142,.91
28.6373,.92
28.8135,.95
29.0778,1.07
29.4303,.93
29.5184,1
29.4009,1
29.4597,.51
29.7534,.6
29.959,.61
30.1058,.64
30.0471,.75
30.3114,.69
30.5171,.67
30.5171,.79
31.0164,.76
31.1926,.7
31.2807,.67
31.4863,.77
31.6919,.69
31.8094,.75
31.3688,.83
32.3381,.63
32.7199,.33
33.0724,.29
33.278,.23
33.7185,.17
33.8654,.11
34.1298,.11
34.3941,.17
34.7172,.11
34.864,.13
34.9522,.28
35.3046,.27
35.4515,.35
35.892,.3
36.2445,.19
36.4795,.23
36.9788,.22
37.0376,.08
37.39,-.12
37.5662,-.36
37.7718,-.28
37.8012,-.31
38.1537,-.22
38.418,-.52
38.1536,-.6
38.2418,-.56
38.4222,-.36
37.9864,-.37
37.7723,.01
38.1285,.54
37.7959,.91
37.7911,1.04
37.7051,1.37
38.4275,1.38
38.3651,1.31
38.6775,1.6
39.2307,1.62
39.6532,1.19
39.6105,.93
39.7525,.85
39.8766,.69
39.9343,-.12
40.3822,-.24
40.5306,-.35
40.4684,-.52
40.5813,-.61
40.735,-.32
40.8159,-.33
41.3439,-.12
41.4744,.01
41.7254,-.26
41.9924,-.42
42.3216,-.49
42.1659,-1.24
42.0065,-2.35
42.4169,-2.33
42.6409,-1.89
42.7389,-2.5
42.7292,-1.99
42.7418,-1.9
42.3389,-1.71
42.2252,-1.32
41.4433,-1.19
41.416,-1.74
41.3623,-.69
41.2559,-.71
41.2078,-.03
41.0745,.24
41.1754,.25
41.102,.92
40.8186,1.1
40.0021,1.13
39.7598,1.24
40.6729,1.49
40.9858,2.1
40.9077,2.39
40.8634,1.99
41.0928,1.68
41.3014,1.76
41.4746,1.61
41.3542,1.42
41.1142,1.02
41.7824,.59
42.0951,.73
42.2738,.9
42.7618,1.79
43.7766,2.45
44.171,2.79
44.4998,2.24
44.9484,2.02
44.9582,1.86
45.1018,1.65
45.1069,1.56
45.6943,1.41
46.0421,1.68
46.6581,1.44
47.2098,1.22
47.7324,1.03
48.0379,.52
48.7708,.06
48.7774,-.38
48.6959,-.45
49.0363,-.99
49.0838,-1.59
49.2984,-3.27
49.2056,-3.1
49.6466,-3.69
49.9833,-3.22
50.2244,-3.3
50.1034,-3.21
49.7528,-2.66
49.6075,-2.01
49.6086,-2.14
49.4975,-3
49.8376,-3.73
49.789,-4.39
49.7919,-5.11
49.3352,-3.97
49.3707,-3.3
49.1889,-2.16
47.5734,-1.77
45.8951,-1.1
45.2771,.37
44.1926,1.15
43.7253,2.19
43.7535,2.74
43.6679,2.84
43.9798,2.31
44.4472,1.96
44.8602,2.26
45.4498,2.19
45.6296,2.32
45.7454,2.83
46.3115,2.8
46.9916,2.87
47.4061,3.02
47.4443,2.89
47.7395,2.74
47.9563,2.61
47.9654,2.38
48.242,2.52
48.5817,2.48
48.7103,2.34
48.7757,2.39
49.5049,2.34
50.0244,2.22
49.7338,2.6
50.4786,2.71
51.1123,2.77
51.5973,2.64
51.9851,2.11
52.357,1.89
52.4821,1.91
52.5461,1.5
52.7988,1.2
52.9405,1.05
52.9595,1.07
53.057,1.13
52.3441,1.26
52.5742,1.25
53.5428,1.25
54.6547,1.26
54.8317,.99
55.2401,.86
55.2162,.83
55.413,.37
55.5525,-.03
56.0327,-.32
56.4509,-.95
56.788,-1.02
56.4097,-.97
56.7534,-.96
56.9404,-.97
56.3411,-.83
56.7716,-.99
56.7861,-1.38
56.6776,-1.52
56.2842,-1.91
56.335,-2.1
56.6469,-3.47
56.6009,-2.53
56.6594,-3.39
